sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-09;4232,510;4201,230;4220,860;;1;;0
2018-05-08;4229,150;4184,830;4229,150;;1;;0
2018-05-07;4193,270;4149,390;4191,730;;1;;0
2018-05-04;4152,170;4107,240;4150,060;;1;;0
2018-05-03;4172,790;4105,290;4106,930;;1;;0
2018-05-02;4197,940;4154,880;4159,440;;1;;0
2018-04-30;4165,280;4158,360;4163,330;;1;;0
2018-04-27;4169,480;4117,290;4162,170;;1;;0
2018-04-26;4133,050;4018,410;4125,490;;1;;0
2018-04-25;4075,520;4032,670;4069,120;;1;;0
2018-04-24;4105,980;4059,460;4075,900;;1;;0
2018-04-23;4103,840;4068,110;4103,840;;1;;0
2018-04-20;4115,990;4080,570;4088,890;;1;;0
2018-04-19;4105,760;4072,390;4102,030;;1;;0
2018-04-18;4076,760;4059,230;4070,800;;1;;0
2018-04-17;4063,380;4007,530;4059,230;;1;;0
2018-04-16;4027,540;3999,190;4009,050;;1;;0
2018-04-13;4050,800;4006,950;4021,680;;1;;0
2018-04-12;4005,040;3965,120;4002,590;;1;;0
2018-04-11;3996,910;3953,660;3961,770;;1;;0
2018-04-10;3998,060;3961,850;3994,630;;1;;0
2018-04-09;4011,340;3957,110;3968,140;;1;;0
2018-04-06;4013,150;3969,700;3977,920;;1;;0
2018-04-05;4018,370;3947,200;4018,220;;1;;0
2018-04-04;3999,560;3912,070;3933,490;;1;;0
2018-04-03;4008,930;3959,220;3972,740;;1;;0
2018-03-29;4023,130;3976,470;4014,400;;1;;0
2018-03-28;3997,060;3931,050;3997,060;;1;;0
2018-03-27;4031,490;3972,060;4005,020;;1;;0
2018-03-26;4025,220;3951,640;3956,990;;1;;0
2018-03-23;4013,060;3931,910;3995,710;;1;;0
2018-03-22;4081,700;4004,520;4020,930;;1;;0
2018-03-21;4096,000;4058,700;4085,750;;1;;0
2018-03-20;4090,660;4059,440;4081,950;;1;;0
2018-03-19;4099,970;4052,140;4057,950;;1;;0
2018-03-16;4123,740;4089,340;4090,170;;1;;0
2018-03-15;4114,680;4082,000;4113,210;;1;;0
2018-03-14;4112,520;4076,890;4081,710;;1;;0
2018-03-13;4135,190;4075,140;4083,440;;1;;0
2018-03-12;4162,940;4124,210;4132,590;;1;;0
2018-03-09;4140,080;4095,480;4138,140;;1;;0
2018-03-08;4134,510;4075,200;4132,490;;1;;0
2018-03-07;4078,380;4022,300;4074,390;;1;;0
2018-03-06;4074,520;4040,460;4049,880;;1;;0
2018-03-05;4034,040;3981,330;4028,780;;1;;0
2018-03-02;4071,630;3980,210;3989,950;;1;;0
2018-03-01;4125,780;4067,500;4075,110;;1;;0
2018-02-28;4149,400;4119,710;4128,050;;1;;0
2018-02-27;4177,030;4136,710;4152,720;;1;;0
2018-02-26;4192,120;4148,010;4173,520;;1;;0
2018-02-23;4146,190;4121,140;4141,090;;1;;0
2018-02-22;4157,960;4105,490;4135,320;;1;;0
2018-02-21;4162,120;4112,170;4159,580;;1;;0
2018-02-20;4142,870;4112,270;4142,870;;1;;0
2018-02-19;4145,770;4104,820;4112,830;;1;;0
2018-02-16;4135,830;4068,150;4133,600;;1;;0
2018-02-15;4087,410;4029,410;4063,860;;1;;0
2018-02-14;4019,140;3948,220;4017,660;;1;;0
2018-02-13;3993,420;3958,480;3965,020;;1;;0
2018-02-12;4001,350;3949,610;3978,380;;1;;0
2018-02-09;3977,900;3908,300;3920,860;;1;;0
2018-02-08;4066,200;3958,990;3959,190;;1;;0
2018-02-07;4061,860;3981,870;4052,170;;1;;0
2018-02-06;4053,440;3908,440;3974,130;;1;;0
2018-02-05;4096,460;4048,710;4062,980;;1;;0
2018-02-02;4156,020;4097,360;4099,550;;1;;0
2018-02-01;4155,230;4044,940;4139,460;;1;;0
2018-01-31;4073,770;4037,610;4042,010;;1;;0
2018-01-30;4074,750;4035,210;4037,010;;1;;0
2018-01-29;4079,090;4053,970;4064,340;;1;;0
2018-01-26;4059,870;4010,020;4049,480;;1;;0
2018-01-25;4077,030;4021,160;4026,420;;1;;0
2018-01-24;4119,890;4073,320;4077,670;;1;;0
2018-01-23;4129,430;4091,970;4114,490;;1;;0
2018-01-22;4126,660;4093,070;4112,940;;1;;0
2018-01-19;4102,430;4054,380;4090,900;;1;;0
2018-01-18;4058,340;4038,240;4055,100;;1;;0
2018-01-17;4058,410;4015,910;4037,830;;1;;0
2018-01-16;4053,880;4024,250;4029,020;;1;;0
2018-01-15;4041,470;4020,610;4023,690;;1;;0
2018-01-12;4038,290;4011,750;4036,650;;1;;0
2018-01-11;4042,600;4017,480;4023,690;;1;;0
2018-01-10;4051,990;4022,740;4033,170;;1;;0
2018-01-09;4057,290;4025,290;4053,870;;1;;0
2018-01-08;4040,300;4018,840;4030,280;;1;;0
2018-01-05;4018,460;3991,110;4018,410;;1;;0
2018-01-04;4002,390;3967,240;3994,840;;1;;0
2018-01-03;3970,540;3931,170;3963,760;;1;;0
2018-01-02;3932,650;3905,440;3930,170;;1;;0
